"Title","Título"
"Severity","Gravedad"
"Low","Baja"
"Medium","Media"
"High","Alta"
"Id","ID"
"Title","Título"
"Date","Fecha"
"Severity","Gravedad"
"Status","Estado"
"Closed","Cerrado"
"Opened","Abierto"
"Low","Baja"
"Medium","Media"
"High","Alta"
